1673549342.856568 server started (11631): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1673549342.856587 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:15:09 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T6000
1673549342.856597 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1673549342.856664 input_key_build: 0x10e003 (PasteStart) is \033[200~
1673549342.856668 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1673549342.856686 input_key_build: 0x10e195 (F1) is \033OP
1673549342.856690 input_key_build: 0x10e196 (F2) is \033OQ
1673549342.856694 input_key_build: 0x10e197 (F3) is \033OR
1673549342.856697 input_key_build: 0x10e198 (F4) is \033OS
1673549342.856700 input_key_build: 0x10e199 (F5) is \033[15~
1673549342.856704 input_key_build: 0x10e19a (F6) is \033[17~
1673549342.856707 input_key_build: 0x10e19b (F7) is \033[18~
1673549342.856710 input_key_build: 0x10e19c (F8) is \033[19~
1673549342.856713 input_key_build: 0x10e19d (F9) is \033[20~
1673549342.856716 input_key_build: 0x10e19e (F10) is \033[21~
1673549342.856719 input_key_build: 0x10e19f (F11) is \033[23~
1673549342.856723 input_key_build: 0x10e1a0 (F12) is \033[24~
1673549342.856726 input_key_build: 0x10e1a1 (IC) is \033[2~
1673549342.856729 input_key_build: 0x10e1a2 (DC) is \033[3~
1673549342.856732 input_key_build: 0x10e1a3 (Home) is \033[1~
1673549342.856735 input_key_build: 0x10e1a4 (End) is \033[4~
1673549342.856738 input_key_build: 0x10e1a5 (NPage) is \033[6~
1673549342.856742 input_key_build: 0x10e1a6 (PPage) is \033[5~
1673549342.856745 input_key_build: 0x10e1a7 (BTab) is \033[Z
1673549342.856748 input_key_build: 0x10e1a8 (Up) is \033[A
1673549342.856751 input_key_build: 0x10e1a9 (Down) is \033[B
1673549342.856755 input_key_build: 0x10e1aa (Left) is \033[D
1673549342.856758 input_key_build: 0x10e1ab (Right) is \033[C
1673549342.856761 input_key_build: 0x10e1ac (KP/) is /
1673549342.856765 input_key_build: 0x10e1ad (KP*) is *
1673549342.856768 input_key_build: 0x10e1ae (KP-) is -
1673549342.856771 input_key_build: 0x10e1af (KP7) is 7
1673549342.856774 input_key_build: 0x10e1b0 (KP8) is 8
1673549342.856777 input_key_build: 0x10e1b1 (KP9) is 9
1673549342.856780 input_key_build: 0x10e1b2 (KP+) is +
1673549342.856783 input_key_build: 0x10e1b3 (KP4) is 4
1673549342.856786 input_key_build: 0x10e1b4 (KP5) is 5
1673549342.856789 input_key_build: 0x10e1b5 (KP6) is 6
1673549342.856792 input_key_build: 0x10e1b6 (KP1) is 1
1673549342.856795 input_key_build: 0x10e1b7 (KP2) is 2
1673549342.856798 input_key_build: 0x10e1b8 (KP3) is 3
1673549342.856802 input_key_build: 0x10e1b9 (KPEnter) is \n
1673549342.856805 input_key_build: 0x10e1ba (KP0) is 0
1673549342.856808 input_key_build: 0x10e1bb (KP.) is .
1673549342.856811 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1673549342.856815 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1673549342.856818 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1673549342.856821 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1673549342.856824 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1673549342.856827 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1673549342.856831 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1673549342.856834 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1673549342.856837 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1673549342.856840 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1673549342.856843 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
