1673549347.239352 client started (11692): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1673549347.239418 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:15:09 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T6000
1673549347.239433 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1673549347.239459 flags are 0x10010000
1673549347.239467 socket is /private/tmp/tmux-501/default
1673549347.239485 trying connect
1673549347.239548 add peer 0x138048000: 6 (0x0)
1673549347.242579 sending message 100 to peer 0x138048000 (4 bytes)
1673549347.242596 sending message 111 to peer 0x138048000 (8 bytes)
1673549347.242605 sending message 101 to peer 0x138048000 (16 bytes)
1673549347.242615 sending message 109 to peer 0x138048000 (4 bytes)
1673549347.242622 sending message 102 to peer 0x138048000 (13 bytes)
1673549347.242630 sending message 108 to peer 0x138048000 (24 bytes)
1673549347.242639 sending message 112 to peer 0x138048000 (70 bytes)
1673549347.242648 sending message 112 to peer 0x138048000 (5 bytes)
1673549347.242656 sending message 112 to peer 0x138048000 (5 bytes)
1673549347.242664 sending message 112 to peer 0x138048000 (6 bytes)
1673549347.242672 sending message 112 to peer 0x138048000 (6 bytes)
1673549347.242680 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.242688 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242695 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242703 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242711 sending message 112 to peer 0x138048000 (18 bytes)
1673549347.242719 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.242729 sending message 112 to peer 0x138048000 (21 bytes)
1673549347.242737 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242745 sending message 112 to peer 0x138048000 (7 bytes)
1673549347.242752 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242760 sending message 112 to peer 0x138048000 (7 bytes)
1673549347.242768 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242777 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242786 sending message 112 to peer 0x138048000 (21 bytes)
1673549347.242793 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242802 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.242811 sending message 112 to peer 0x138048000 (12 bytes)
1673549347.242819 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242826 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242834 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242842 sending message 112 to peer 0x138048000 (12 bytes)
1673549347.242849 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.242857 sending message 112 to peer 0x138048000 (7 bytes)
1673549347.242867 sending message 112 to peer 0x138048000 (7 bytes)
1673549347.242875 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242882 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242888 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242894 sending message 112 to peer 0x138048000 (15 bytes)
1673549347.242900 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.242906 sending message 112 to peer 0x138048000 (12 bytes)
1673549347.242912 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.242918 sending message 112 to peer 0x138048000 (14 bytes)
1673549347.242924 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.242932 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242940 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242947 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242954 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242962 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.242971 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.242981 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.242989 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.242997 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.243025 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.243030 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.243036 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.243041 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.243047 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243053 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243058 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243063 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243069 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243074 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.243079 sending message 112 to peer 0x138048000 (11 bytes)
1673549347.243084 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243090 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.243095 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.243101 sending message 112 to peer 0x138048000 (12 bytes)
1673549347.243105 sending message 112 to peer 0x138048000 (9 bytes)
1673549347.243109 sending message 112 to peer 0x138048000 (6 bytes)
1673549347.243114 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.243118 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.243123 sending message 112 to peer 0x138048000 (15 bytes)
1673549347.243127 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.243131 sending message 112 to peer 0x138048000 (70 bytes)
1673549347.243135 sending message 112 to peer 0x138048000 (69 bytes)
1673549347.243139 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243143 sending message 112 to peer 0x138048000 (8 bytes)
1673549347.243148 sending message 112 to peer 0x138048000 (15 bytes)
1673549347.243152 sending message 112 to peer 0x138048000 (13 bytes)
1673549347.243156 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243160 sending message 112 to peer 0x138048000 (10 bytes)
1673549347.243164 sending message 112 to peer 0x138048000 (5 bytes)
1673549347.243169 sending message 112 to peer 0x138048000 (15 bytes)
1673549347.243174 sending message 104 to peer 0x138048000 (0 bytes)
1673549347.243179 sending message 110 to peer 0x138048000 (0 bytes)
1673549347.243184 sending message 107 to peer 0x138048000 (4 bytes)
1673549347.243188 sending message 105 to peer 0x138048000 (15 bytes)
1673549347.243192 sending message 105 to peer 0x138048000 (20 bytes)
1673549347.243196 sending message 105 to peer 0x138048000 (22 bytes)
1673549347.243199 sending message 105 to peer 0x138048000 (12 bytes)
1673549347.243204 sending message 105 to peer 0x138048000 (38 bytes)
1673549347.243207 sending message 105 to peer 0x138048000 (35 bytes)
1673549347.243211 sending message 105 to peer 0x138048000 (16 bytes)
1673549347.243215 sending message 105 to peer 0x138048000 (37 bytes)
1673549347.243219 sending message 105 to peer 0x138048000 (30 bytes)
1673549347.243222 sending message 105 to peer 0x138048000 (34 bytes)
1673549347.243226 sending message 105 to peer 0x138048000 (60 bytes)
1673549347.243229 sending message 105 to peer 0x138048000 (21 bytes)
1673549347.243233 sending message 105 to peer 0x138048000 (61 bytes)
1673549347.243237 sending message 105 to peer 0x138048000 (17 bytes)
1673549347.243240 sending message 105 to peer 0x138048000 (19 bytes)
1673549347.243244 sending message 105 to peer 0x138048000 (27 bytes)
1673549347.243247 sending message 105 to peer 0x138048000 (8 bytes)
1673549347.243251 sending message 105 to peer 0x138048000 (12 bytes)
1673549347.243255 sending message 105 to peer 0x138048000 (32 bytes)
1673549347.243258 sending message 105 to peer 0x138048000 (94 bytes)
1673549347.243262 sending message 105 to peer 0x138048000 (31 bytes)
1673549347.243266 sending message 105 to peer 0x138048000 (10 bytes)
1673549347.243269 sending message 105 to peer 0x138048000 (12 bytes)
1673549347.243273 sending message 105 to peer 0x138048000 (11 bytes)
1673549347.243277 sending message 105 to peer 0x138048000 (667 bytes)
1673549347.243288 sending message 105 to peer 0x138048000 (28 bytes)
1673549347.243292 sending message 105 to peer 0x138048000 (15 bytes)
1673549347.243296 sending message 105 to peer 0x138048000 (8 bytes)
1673549347.243299 sending message 105 to peer 0x138048000 (66 bytes)
1673549347.243303 sending message 105 to peer 0x138048000 (21 bytes)
1673549347.243307 sending message 105 to peer 0x138048000 (18 bytes)
1673549347.243310 sending message 105 to peer 0x138048000 (26 bytes)
1673549347.243314 sending message 105 to peer 0x138048000 (60 bytes)
1673549347.243318 sending message 105 to peer 0x138048000 (57 bytes)
1673549347.243321 sending message 105 to peer 0x138048000 (43 bytes)
1673549347.243325 sending message 105 to peer 0x138048000 (13 bytes)
1673549347.243328 sending message 105 to peer 0x138048000 (9 bytes)
1673549347.243332 sending message 105 to peer 0x138048000 (14 bytes)
1673549347.243336 sending message 105 to peer 0x138048000 (19 bytes)
1673549347.243339 sending message 105 to peer 0x138048000 (26 bytes)
1673549347.243343 sending message 105 to peer 0x138048000 (22 bytes)
1673549347.243346 sending message 105 to peer 0x138048000 (43 bytes)
1673549347.243350 sending message 105 to peer 0x138048000 (32 bytes)
1673549347.243353 sending message 105 to peer 0x138048000 (25 bytes)
1673549347.243357 sending message 106 to peer 0x138048000 (0 bytes)
